[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 2.911e-05,	b1 = 5.846e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 2.903e-05,	b2 = 5.853e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 2.907e-05,	b_total = 5.850e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 7.319e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0252 steps
Cap(theor-act): [  6.286e-04 -   6.261e-04 =   2.463e-06] | Step Loss (=Cap/k_fit): [  0.085] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0381 +  0.0030 +  0.0222 =    +0.0634] @ 2026-02-16 18:52:19.310817 @ Step [1.4521e+00/1.5000e+00]
Cap(theor-act): [  6.286e-04 -   6.279e-04 =   6.512e-07] | Step Loss (=Cap/k_fit): [  0.022] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0101 +  0.0031 + -0.0125 =    +0.0007] @ 2026-02-16 18:52:19.991134 @ Step [1.4528e+00/1.5000e+00]
Cap(theor-act): [  6.304e-04 -   6.272e-04 =   3.173e-06] | Step Loss (=Cap/k_fit): [  0.109] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0491 +  0.0032 +  0.0174 =    +0.0696] @ 2026-02-16 18:52:20.693215 @ Step [1.5224e+00/1.5625e+00]
Cap(theor-act): [  6.304e-04 -   6.283e-04 =   2.065e-06] | Step Loss (=Cap/k_fit): [  0.071] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0320 +  0.0032 + -0.0076 =    +0.0276] @ 2026-02-16 18:52:21.376851 @ Step [1.5500e+00/1.5625e+00]
Cap(theor-act): [  6.322e-04 -   6.280e-04 =   4.183e-06] | Step Loss (=Cap/k_fit): [  0.144] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0648 +  0.0034 +  0.0146 =    +0.0827] @ 2026-02-16 18:52:22.075273 @ Step [1.6327e+00/1.6250e+00]
Cap(theor-act): [  6.322e-04 -   6.308e-04 =   1.364e-06] | Step Loss (=Cap/k_fit): [  0.047] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0211 +  0.0034 + -0.0194 =    +0.0051] @ 2026-02-16 18:52:22.747238 @ Step [1.6378e+00/1.6250e+00]
Cap(theor-act): [  6.340e-04 -   6.320e-04 =   2.073e-06] | Step Loss (=Cap/k_fit): [  0.071] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0321 +  0.0035 +  0.0049 =    +0.0405] @ 2026-02-16 18:52:23.435258 @ Step [1.6783e+00/1.6875e+00]
Cap(theor-act): [  6.340e-04 -   6.337e-04 =   3.609e-07] | Step Loss (=Cap/k_fit): [  0.012] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0056 +  0.0035 + -0.0118 =    -0.0027] @ 2026-02-16 18:52:24.108119 @ Step [1.6756e+00/1.6875e+00]
Cap(theor-act): [  6.358e-04 -   6.336e-04 =   2.278e-06] | Step Loss (=Cap/k_fit): [  0.078] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0353 +  0.0036 +  0.0132 =    +0.0520] @ 2026-02-16 18:52:24.793806 @ Step [1.7276e+00/1.7500e+00]
Cap(theor-act): [  6.358e-04 -   6.359e-04 =  -3.825e-08] | Step Loss (=Cap/k_fit): [ -0.001] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [-0.0006 +  0.0036 + -0.0159 =    -0.0129] @ 2026-02-16 18:52:25.466281 @ Step [1.7147e+00/1.7500e+00]
