"20MHZ, 700mVpp, 100mVdc, time_const 30ms, sen 3mV rms, VDD 3.0, 2/16/2026"
[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 2.915e-05,	b1 = 5.863e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 2.907e-05,	b2 = 5.868e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 2.911e-05,	b_total = 5.866e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 5.776e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0198 steps
Cap(theor-act): [  5.902e-04 -   5.883e-04 =   1.855e-06] | Step Loss (=Cap/k_fit): [  0.064] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:50.651123 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.880e-04 =   2.158e-06] | Step Loss (=Cap/k_fit): [  0.074] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:51.284671 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.884e-04 =   1.755e-06] | Step Loss (=Cap/k_fit): [  0.060] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:51.908979 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.878e-04 =   2.359e-06] | Step Loss (=Cap/k_fit): [  0.081] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:52.537141 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.873e-04 =   2.863e-06] | Step Loss (=Cap/k_fit): [  0.098] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:53.159541 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.877e-04 =   2.460e-06] | Step Loss (=Cap/k_fit): [  0.084] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:53.786398 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.879e-04 =   2.258e-06] | Step Loss (=Cap/k_fit): [  0.078] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:54.413479 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.883e-04 =   1.855e-06] | Step Loss (=Cap/k_fit): [  0.064] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:55.044054 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.876e-04 =   2.560e-06] | Step Loss (=Cap/k_fit): [  0.088] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:55.684840 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.881e-04 =   2.057e-06] | Step Loss (=Cap/k_fit): [  0.071] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:56.329774 @ Step [1.2500e-01/1.2500e-01]
