[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 8.191e-06,	b1 = 1.697e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 8.212e-06,	b2 = 1.698e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 8.201e-06,	b_total = 1.698e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 1.766e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0215 steps
Cap(theor-act): [  1.698e-04 -   1.701e-04 =  -3.327e-07] | Step Loss (=Cap/k_fit): [ -0.041] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0081 +  0.0080 +  0.0000 =    -0.0001] @ 15:03:22 [PID ADJ        ] @ Step [6.1303e+00]
Cap(theor-act): [  1.698e-04 -   1.702e-04 =  -4.337e-07] | Step Loss (=Cap/k_fit): [ -0.053] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0106 +  0.0079 + -0.0001 =    -0.0028] @ 15:03:23 [PID ADJ        ] @ Step [6.1276e+00]
Cap(theor-act): [  1.698e-04 -   1.701e-04 =  -3.627e-07] | Step Loss (=Cap/k_fit): [ -0.044] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0088 +  0.0079 +  0.0000 =    -0.0009] @ 15:03:25 [PID ADJ        ] @ Step [6.1266e+00]
Cap(theor-act): [  1.698e-04 -   1.700e-04 =  -2.227e-07] | Step Loss (=Cap/k_fit): [ -0.027] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0054 +  0.0079 +  0.0001 =    +0.0025] @ 15:03:26 [PID ADJ        ] @ Step [6.1292e+00]
Cap(theor-act): [  1.698e-04 -   1.701e-04 =  -3.427e-07] | Step Loss (=Cap/k_fit): [ -0.042] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0084 +  0.0079 + -0.0001 =    -0.0006] @ 15:03:27 [PID ADJ        ] @ Step [6.1286e+00]
Cap(theor-act): [  1.698e-04 -   1.700e-04 =  -2.117e-07] | Step Loss (=Cap/k_fit): [ -0.026] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0052 +  0.0079 +  0.0001 =    +0.0028] @ 15:03:28 [PID ADJ        ] @ Step [6.1314e+00]
Cap(theor-act): [  1.698e-04 -   1.701e-04 =  -3.227e-07] | Step Loss (=Cap/k_fit): [ -0.039] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0079 +  0.0079 + -0.0001 =    -0.0001] @ 15:03:29 [PID ADJ        ] @ Step [6.1313e+00]
Cap(theor-act): [  1.698e-04 -   1.701e-04 =  -3.027e-07] | Step Loss (=Cap/k_fit): [ -0.037] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0074 +  0.0079 +  0.0000 =    +0.0005] @ 15:03:30 [PID ADJ        ] @ Step [6.1318e+00]
Cap(theor-act): [  1.698e-04 -   1.700e-04 =  -2.117e-07] | Step Loss (=Cap/k_fit): [ -0.026] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0052 +  0.0079 +  0.0001 =    +0.0028] @ 15:03:31 [PID ADJ        ] @ Step [6.1346e+00]
Cap(theor-act): [  1.698e-04 -   1.700e-04 =  -2.627e-07] | Step Loss (=Cap/k_fit): [ -0.032] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0064 +  0.0079 + -0.0000 =    +0.0014] @ 15:03:33 [PID ADJ        ] @ Step [6.1360e+00]
Cap(theor-act): [  1.698e-04 -   1.698e-04 =  -8.167e-08] | Step Loss (=Cap/k_fit): [ -0.010] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0020 +  0.0079 +  0.0001 =    +0.0060] @ 15:03:34 [PID ADJ        ] @ Step [6.1420e+00]
Cap(theor-act): [  1.698e-04 -   1.698e-04 =  -8.167e-08] | Step Loss (=Cap/k_fit): [ -0.010] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0020 +  0.0079 +  0.0000 =    +0.0059] @ 15:03:35 [PID ADJ        ] @ Step [6.1479e+00]
Cap(theor-act): [  1.698e-04 -   1.699e-04 =  -1.817e-07] | Step Loss (=Cap/k_fit): [ -0.022] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0044 +  0.0079 + -0.0001 =    +0.0034] @ 15:03:36 [PID ADJ        ] @ Step [6.1512e+00]
Cap(theor-act): [  1.698e-04 -   1.699e-04 =  -1.817e-07] | Step Loss (=Cap/k_fit): [ -0.022] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0044 +  0.0079 +  0.0000 =    +0.0034] @ 15:03:37 [PID ADJ        ] @ Step [6.1547e+00]
Cap(theor-act): [  1.698e-04 -   1.701e-04 =  -3.837e-07] | Step Loss (=Cap/k_fit): [ -0.047] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0094 +  0.0079 + -0.0001 =    -0.0016] @ 15:03:38 [PID ADJ        ] @ Step [6.1531e+00]
Cap(theor-act): [  1.698e-04 -   1.702e-04 =  -4.037e-07] | Step Loss (=Cap/k_fit): [ -0.049] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0098 +  0.0079 + -0.0000 =    -0.0020] @ 15:03:39 [PID ADJ        ] @ Step [6.1511e+00]
Cap(theor-act): [  1.698e-04 -   1.704e-04 =  -6.247e-07] | Step Loss (=Cap/k_fit): [ -0.076] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0152 +  0.0077 + -0.0001 =    -0.0077] @ 15:03:41 [PID ADJ        ] @ Step [6.1434e+00]
Cap(theor-act): [  1.698e-04 -   1.702e-04 =  -4.237e-07] | Step Loss (=Cap/k_fit): [ -0.052] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0103 +  0.0076 +  0.0001 =    -0.0026] @ 15:03:42 [PID ADJ        ] @ Step [6.1408e+00]
Cap(theor-act): [  1.698e-04 -   1.701e-04 =  -3.127e-07] | Step Loss (=Cap/k_fit): [ -0.038] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0076 +  0.0076 +  0.0001 =    +0.0001] @ 15:03:43 [PID ADJ        ] @ Step [6.1409e+00]
Cap(theor-act): [  1.698e-04 -   1.701e-04 =  -3.227e-07] | Step Loss (=Cap/k_fit): [ -0.039] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0079 +  0.0076 + -0.0000 =    -0.0003] @ 15:03:44 [PID ADJ        ] @ Step [6.1406e+00]
Cap(theor-act): [  1.698e-04 -   1.702e-04 =  -4.937e-07] | Step Loss (=Cap/k_fit): [ -0.060] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0120 +  0.0075 + -0.0001 =    -0.0047] @ 15:03:45 [PID ADJ        ] @ Step [6.1360e+00]
Cap(theor-act): [  1.698e-04 -   1.702e-04 =  -4.437e-07] | Step Loss (=Cap/k_fit): [ -0.054] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0108 +  0.0074 +  0.0000 =    -0.0034] @ 15:03:46 [PID ADJ        ] @ Step [6.1326e+00]
