[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 2.956e-05,	b1 = 5.865e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 2.935e-05,	b2 = 5.872e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 2.945e-05,	b_total = 5.868e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 5.907e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0201 steps
Cap(theor-act): [  6.973e-04 -   6.449e-04 =   5.233e-05] | Step Loss (=Cap/k_fit): [  1.777] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0089 +  0.1203 + -0.0011 =    +0.1281] @ 21:20:01 [PID ADJ        ] @ Step [8.0217e+00]
Cap(theor-act): [  6.973e-04 -   6.461e-04 =   5.122e-05] | Step Loss (=Cap/k_fit): [  1.739] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0087 +  0.1221 + -0.0004 =    +0.1304] @ 21:20:03 [PID ADJ        ] @ Step [8.1521e+00]
Cap(theor-act): [  6.973e-04 -   6.479e-04 =   4.941e-05] | Step Loss (=Cap/k_fit): [  1.677] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0084 +  0.1237 + -0.0006 =    +0.1315] @ 21:20:04 [PID ADJ        ] @ Step [8.2836e+00]
Cap(theor-act): [  6.973e-04 -   6.530e-04 =   4.427e-05] | Step Loss (=Cap/k_fit): [  1.503] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0075 +  0.1253 + -0.0017 =    +0.1310] @ 21:20:05 [PID ADJ        ] @ Step [8.4146e+00]
Cap(theor-act): [  6.973e-04 -   6.570e-04 =   4.024e-05] | Step Loss (=Cap/k_fit): [  1.366] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0068 +  0.1266 + -0.0014 =    +0.1321] @ 21:20:06 [PID ADJ        ] @ Step [8.5467e+00]
Cap(theor-act): [  6.973e-04 -   6.591e-04 =   3.813e-05] | Step Loss (=Cap/k_fit): [  1.294] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0065 +  0.1279 + -0.0007 =    +0.1337] @ 21:20:07 [PID ADJ        ] @ Step [8.6804e+00]
Cap(theor-act): [  6.973e-04 -   6.642e-04 =   3.309e-05] | Step Loss (=Cap/k_fit): [  1.124] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0056 +  0.1290 + -0.0017 =    +0.1329] @ 21:20:08 [PID ADJ        ] @ Step [8.8133e+00]
Cap(theor-act): [  6.973e-04 -   6.716e-04 =   2.564e-05] | Step Loss (=Cap/k_fit): [  0.870] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0044 +  0.1299 + -0.0025 =    +0.1317] @ 21:20:09 [PID ADJ        ] @ Step [8.9450e+00]
Cap(theor-act): [  6.973e-04 -   6.759e-04 =   2.141e-05] | Step Loss (=Cap/k_fit): [  0.727] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0036 +  0.1306 + -0.0014 =    +0.1328] @ 21:20:11 [PID ADJ        ] @ Step [9.0779e+00]
Cap(theor-act): [  6.973e-04 -   6.759e-04 =   2.141e-05] | Step Loss (=Cap/k_fit): [  0.727] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0036 +  0.1314 +  0.0000 =    +0.1350] @ 21:20:12 [PID ADJ        ] @ Step [9.2129e+00]
