[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 8.159e-06,	b1 = 1.678e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 8.184e-06,	b2 = 1.675e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 8.171e-06,	b_total = 1.676e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 2.725e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0334 steps
Cap(theor-act): [  1.983e-04 -   2.340e-04 =  -3.578e-05] | Step Loss (=Cap/k_fit): [ -4.379] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0219 +  0.2417 + -0.0004 =    +0.2193] @ 01:09:54 [PID ADJ        ] @ Step [1.7409e+01]
Cap(theor-act): [  1.983e-04 -   2.358e-04 =  -3.752e-05] | Step Loss (=Cap/k_fit): [ -4.591] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0230 +  0.2325 + -0.0011 =    +0.2085] @ 01:09:55 [PID ADJ        ] @ Step [1.7617e+01]
Cap(theor-act): [  1.983e-04 -   2.367e-04 =  -3.846e-05] | Step Loss (=Cap/k_fit): [ -4.707] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0235 +  0.2231 + -0.0006 =    +0.1989] @ 01:09:56 [PID ADJ        ] @ Step [1.7816e+01]
Cap(theor-act): [  1.983e-04 -   2.400e-04 =  -4.177e-05] | Step Loss (=Cap/k_fit): [ -5.111] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0256 +  0.2128 + -0.0020 =    +0.1853] @ 01:09:57 [PID ADJ        ] @ Step [1.8001e+01]
Cap(theor-act): [  1.983e-04 -   2.413e-04 =  -4.302e-05] | Step Loss (=Cap/k_fit): [ -5.265] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0263 +  0.2023 + -0.0008 =    +0.1752] @ 01:09:58 [PID ADJ        ] @ Step [1.8177e+01]
Cap(theor-act): [  1.983e-04 -   2.422e-04 =  -4.395e-05] | Step Loss (=Cap/k_fit): [ -5.379] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0269 +  0.1916 + -0.0006 =    +0.1641] @ 01:09:59 [PID ADJ        ] @ Step [1.8341e+01]
Cap(theor-act): [  1.983e-04 -   2.440e-04 =  -4.575e-05] | Step Loss (=Cap/k_fit): [ -5.599] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0280 +  0.1804 + -0.0011 =    +0.1513] @ 01:10:01 [PID ADJ        ] @ Step [1.8492e+01]
Cap(theor-act): [  1.983e-04 -   2.452e-04 =  -4.695e-05] | Step Loss (=Cap/k_fit): [ -5.746] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0287 +  0.1689 + -0.0007 =    +0.1394] @ 01:10:02 [PID ADJ        ] @ Step [1.8631e+01]
Cap(theor-act): [  1.983e-04 -   2.459e-04 =  -4.766e-05] | Step Loss (=Cap/k_fit): [ -5.832] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0292 +  0.1572 + -0.0004 =    +0.1276] @ 01:10:03 [PID ADJ        ] @ Step [1.8759e+01]
Cap(theor-act): [  1.983e-04 -   2.479e-04 =  -4.960e-05] | Step Loss (=Cap/k_fit): [ -6.070] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [-0.0304 +  0.1451 + -0.0012 =    +0.1135] @ 01:10:04 [PID ADJ        ] @ Step [1.8872e+01]
